3001,徐氏,1855-03-20,江南府,1925-04-15,勤俭持家=相夫教子
3002,马氏,1880-07-12,江南府,1950-09-30,贤淑温柔=教导有方
3003,胡氏,1905-11-25,江南府,1975-12-20,善良和顺=孝敬公婆
3004,朱氏,1930-02-18,江南府,2000-01-10,贤良淑德=勤劳贤惠
3006,赵氏,1853-03-20,江南府,1923-05-15,簪缨世家=贤良淑德=相夫教子
3007,钱氏,1878-02-15,江南府,1948-04-20,官宦之女=温婉贤淑=知书达理
3008,孙氏,1878-05-20,江南府,1948-07-25,世族女=温柔典雅=相夫教子
3009,李氏,1879-03-25,江南府,1949-05-30,书香门第=贤德有加=相夫教子
3010,周氏,1879-07-30,江南府,1949-09-15,簪缨世家=温婉贤淑=德才兼备
3011,吴氏,1880-04-15,江南府,1950-06-20,官宦之女=知书达理=相夫教子
3012,郑氏,1880-08-20,江南府,1950-10-25,世族女=温柔典雅=持家有道
3013,王氏,1881-05-25,江南府,1951-07-30,书香门第=贤德有加=相夫教子
3014,陈氏,1881-09-30,江南府,1951-11-15,簪缨世家=温婉贤淑=德才兼备
3015,杨氏,1882-06-15,江南府,1952-08-20,官宦之女=知书达理=家教严谨
3016,朱氏,1882-10-20,江南府,1952-12-25,世族女=温柔典雅=相夫教子
3017,秦氏,1883-07-25,江南府,1953-09-30,书香门第=贤德有加=持家有道
3018,许氏,1883-11-30,江南府,1953-12-15,簪缨世家=温婉贤淑=德才兼备
3019,何氏,1903-02-15,江南府,1973-04-20,官宦之女=知书达理=相夫教子
3020,张氏,1903-05-20,江南府,1973-07-25,世族女=温柔典雅=持家有道
3021,刘氏,1903-08-25,江南府,1973-10-30,书香门第=贤德有加=相夫教子
3022,汪氏,1904-03-30,江南府,1974-05-15,簪缨世家=温婉贤淑=德才兼备
3023,沈氏,1904-07-15,江南府,1974-09-20,官宦之女=知书达理=家教严谨
3024,范氏,1904-10-20,江南府,1974-12-25,世族女=温柔典雅=相夫教子
3025,蔡氏,1905-05-25,江南府,1975-07-30,书香门第=贤德有加=持家有道
3026,秀氏,1853-04-15,江南府,1923-06-20,世族女=诗礼传家=才德兼备
3027,梅氏,1878-03-10,江南府,1948-05-15,书香门第=诗词双绝=知书达理
3028,兰氏,1878-06-15,江南府,1948-08-20,诗礼世家=琴棋书画=才艺双全
